order,V1,V2,pop_structure,q1,q2,q3,q4
110,524,WWR Oman,21,0.00,0.00,1.00,0.00
111,410,WWR UAE,22,0.00,1.00,0.00,0.00
112,433,WWR UAE,23,0.00,1.00,0.00,0.00
113,449,WWR UAE,24,0.00,1.00,0.00,0.00
114,457,WWR UAE,25,0.00,1.00,0.00,0.00
115,465,WWR UAE,29,0.00,0.00,0.00,1.00
116,478,WWR UAE,30,0.00,0.00,0.00,1.00
117,479,WWR UAE,31,0.00,0.00,0.00,1.00
118,480,WWR UAE,32,0.00,0.00,0.00,1.00
119,490,WWR UAE,33,0.00,0.00,0.00,1.00
120,492,WWR UAE,26,0.00,1.00,0.00,0.00
121,493,WWR UAE,34,0.00,0.00,0.00,1.00
122,494,WWR UAE,27,0.00,1.00,0.00,0.00
123,501,WWR UAE,28,0.00,1.00,0.00,0.00
124,525,WWR UAE,35,0.00,0.00,0.00,1.00
125,531,WWR UAE,36,0.00,0.00,0.00,1.00
