,Sample,Gender,Age,Source,Cohort,Zoo,Enclosure,pop_name_structure
92,522,Male,Adult,WWR,Mix,yalooni,M4,WWR Mix
93,523,Male,Adult,WWR,Mix,yalooni,M4,WWR Mix
94,529,Male,Adult,WWR,Mix,yalooni,M4,WWR Mix
95,532,Male,Adult,WWR,Mix,yalooni,M4,WWR Mix
96,533,Male,Adult,WWR,Mix,yalooni,M4,WWR Mix
97,534,Male,Adult,WWR,Mix,yalooni,M4,WWR Mix
98,537,Male,Adult,WWR,Mix,yalooni,M4,WWR Mix
99,538,Male,Adult,WWR,Mix,yalooni,M4,WWR Mix
100,539,Female,Adult,WWR,Mix,yalooni,M1,WWR Mix
101,411,Female,Old,WWR,Oman,yalooni,M1,WWR Oman
102,454,Female,Adult,WWR,Oman,yalooni,M1,WWR Oman
103,461,Female,Adult,WWR,Oman,yalooni,M3,WWR Oman
104,485,Female,Adult,WWR,Oman,yalooni,M3,WWR Oman
105,486,Female,Adult,WWR,Oman,yalooni,M3,WWR Oman
106,488,Female,Adult,WWR,Oman,yalooni,M3,WWR Oman
107,489,Female,Adult,WWR,Oman,yalooni,M3,WWR Oman
108,496,Female,Adult,WWR,Oman,yalooni,M3,WWR Oman
109,497,Female,Adult,WWR,Oman,yalooni,M3,WWR Oman
110,524,Male,Adult,WWR,Oman,yalooni,M4,WWR Oman
111,410,Female,Adult,WWR,UAE,yalooni,M1,WWR UAE
112,433,Female,Adult,WWR,UAE,yalooni,M1,WWR UAE
113,449,Female,Adult,WWR,UAE,yalooni,M1,WWR UAE
114,457,Female,Adult,WWR,UAE,yalooni,M1,WWR UAE
115,465,Female,Adult,WWR,UAE,yalooni,M3,WWR UAE
116,478,Female,Adult,WWR,UAE,yalooni,M3,WWR UAE
117,479,Female,Adult,WWR,UAE,yalooni,M3,WWR UAE
118,480,Female,Adult,WWR,UAE,yalooni,M3,WWR UAE
119,490,Female,Adult,WWR,UAE,yalooni,M3,WWR UAE
120,492,Female,Adult,WWR,UAE,yalooni,M3,WWR UAE
121,493,Female,Adult,WWR,UAE,yalooni,M3,WWR UAE
122,494,Female,Adult,WWR,UAE,yalooni,M3,WWR UAE
123,501,Male,Adult,WWR,UAE,yalooni,M4,WWR UAE
124,525,Male,Adult,WWR,UAE,yalooni,M4,WWR UAE
125,531,Male,Adult,WWR,UAE,yalooni,M4,WWR UAE
